cable	A molding design resembling intertwined rape.
osteology	The study of the structure and function of bones
hosting	Hosting refers to the housing of a web site, email or domain on another server.
nef	Silver model of a ship fitted with containers for table condiments
basket analysis	Analyzing the association of individual product items purchased in the same transaction.
super kilovectors	More powerful digital secondary correction in da Vinci 2K systems
flat	sign indicating that a tone is to be performed one-half step lower than notated
base artwork	artwork requiring additional components such as halftones or line drawings to be added before the reproduction stage.
débitage	A term referring to all the pieces of shatter and flakes produced and not used when stone tools are made.
barrow	A barrow is the archaeological term for a specific type of burial mound belonging to the Neolithic period structures in Western Europe.
pomander	Early ancestor of the vinaigrette, a container used for holding an aromatic mixture of flowers/fruit and spices
city-state	An independent, self-governing city that incorporated its surrounding territory, including smaller towns and villages
perfect	A term used to describe the binding process where the signatures of a book are held together by a flexible adhesive.
level	an excavation layer, which may correspond to natural strata
file compression	See Zipping
inserts	Extra printed pages inserted loosely into printed pieces.
specialty printer	Printer whose equipment, supplies, workflow and marketing is targeted to a specific category of products.
cc	Configuration control.
ae index	A geomagnetic index of the auroral electrojet, which characterizes the maximum range of excursion (both positive and negative) from quiet levels; measured at a given universal time by using the combined data from a worldwide ring of high-latitude magnetic observatories
semibold type	Type darker than normal but lighter than bold.
opacity	Paper characteristic used to describe the ability of paper stocks to prevent two-sided printing from showing through.
feminist archaeology	A branch of archaeology that focuses on collecting evidence of female social roles in past cultures and of women's influence in shaping societies
brc	Bind-in reply card.
digitize	This is the process by which analog images or signals are sampled and changed into digital form.
urology	the study and treatment of diseases of the urogenital tract, a branch of medicine
features	Evidence of human activities visible as disturbances in the soil
advanced ceramic analysis	Studies in ceramic analysis, including typology, manufacturing techniques, use-wear, form/function and style.
salmonid	Any fish belonging of the family Salmonidae including whitefish, grayling, salmon, and trout.
firewire	A high-speed data bus
mini web	Press using rolls
solstice	A point on the ecliptic where the Sun reaches its greatest absolute declination
song cycle	set of songs by one composer, often using texts by the same poet
grain	Direction of fibers in a sheet of paper governing paper properties such as increased size changes with relative humidity, across the grain, and better folding properties along the
comic opera	operas light in mood, modest in performing requirements, written in the vernacular language of the intended audience
anthropology	the study of humanity from a comprehensive, holistic approach; the study of humankind from the earliest times to the present, including the four subfields: physical anthropology, archaeology, socio-cultural anthropology and linguistics.
xerography	a photocopying/printing process in which the image is formed using the electrostatic charge principle
tibetology	the study of Tibet
right ascension	The angular distance measured eastward along the celestial equator from the vernal equinox.  It is expressed in hours, minutes, and seconds (the circumference of the celestial equator is defined as 24 hours).
drill	To drill a whole in a printed matter
smpte	Society of Motion Picture and Television Engineers
foot	The bottom of a page or book.
tip in or on	To glue one edge of a sheet to another sheet or signature.
pica	Standard measurement of 1/6 of an inch
emulsion	A light-sensitive substance made from a silver halide compound used as a coating for film.
landscape	horizontal page orientation where the width is greater than the height.
semitology	the study of Semitic cultures
short-grain	Paper in which the fiber orientation (grain) is parallel to the shortest sheet dimension.
burning-in	Giving additional exposure time to one selected area, during printing to selectively darken.
url	Uniform Resource Locator; the address used to locate a site on the World Wide Web.
choir	Also spelled quire
pork chop	A half-column mug shot.
stratigraphy	The study of the layers (strata) of sediments, soils, and material culture at an archaeological site (also used in geology for the study of geological layers)
capital	The carved part at the top of a column
dummy model	Resembling finished piece in every respect except that the pages and cover are blank, used by the designer as a final check on the appearance and +feel+ of the book as a guide for the size and position of elements on the jacket.
collectors	Individuals who acquire archaeological artifacts for private collections
cantata	multimovement dramatic vocal work on a religious or secular subject, performed in concert style; shorter than an oratorio
cynch mark	Cynching
teaser	An advertisement or promotion designed to excite curiosity about a subsequent advertisement or promotion.
grain	Direction of paper sheet fibers that control paper properties.
ganging	Bundling two or more printing projects on the same sheet of paper.
white light	The sum of all visible wavelengths of light (400-700 nm) so that all colors are blended to appear white to the eye
well	Ads stacked along both edges of the page, forming a deep trough for stories in the middle.
toxicology	the study of poisons
meteorology	the study of weather
debris plugging	Reduction in flow capacity of a road stream crossing drainage structure or ditch relief pipe due to blockage by woody materials.
wood free paper	Made with a chemical pulp only
furnish	The slurry mixture of fibers, water, chemicals and pigments that is delivered to the fourdrinier machine in the papermaking process
miniature	a representation executed on a much smaller scale than the original object.
continuous change	See continuous improvement.
genlock	A system whereby the internal sync generator in a device, such as a camera, locks on to and synchronizes itself with an incoming signal.
hue	The property of light that discriminates one color from another
corner marks	marks printed on a sheet to indicate the trim or register marks.
original art	Initial photo or illustration prepared for reproduction.
inorganic artifacts	artifacts made of stone, minerals, clay, or metals.
stock order	Order for paper that a mill or merchant sends to a printer from inventory at a warehouse, as compared to a mill order.
ftp file transfer protocol.	File Transfer Protocol is a popular and effective way of sending larger files via the internet
hopper head	An open funnel or hopper shaped head at the top of a rain or waste pipe to collect rainwater and/or waste from one or more pipes.
database	An electronic program that is used to efficiently organize, store, retrieve, and modify information, such as a mailing list
cabriole	Curved shape that resembles the leg of an animal, such as a goat ("cabriole" in Spanish)
tint	Various even toned areas of a solid color.
maximum-likelihood	A method that selects the phylogenetic tree that has the highest probability of explaining the sequence data, under a specific model of substitution (changes in the nucleotide or amino-acid sequence).
vibrato	rapid variation of pitch that lends "warmth" to the tone of a voice or instrument
head	(1) Of a signature, the edge of the page closest to the crosshead
computer-based training	Any instructional course delivered primarily on a computer
economy	The management and organization of the affairs of a group, a community, or an establishment to ensure their survival and productivity.
dipterology	the study of flies
share-of-customer	The level of penetration of a customer's total expenditures in any given product/service category which a marketer has succeeded in achieving.
cwbs	Contract work breakdown structure.
self cover	A cover made out the same paper stock as the interior sheets of a booklet.
perfect bind	A method for attaching pages of a printed piece to its cover and spine, usually by a gluing process.
staff	five lines and four spaces on which music is notated
botanical	Analysis of plant remains.
flying paster	An automatic pasting device that splices a new roll of paper onto an expiring roll without stopping the web press.
character piece: etudes	studies or "exercises" based on specific pianistic techniques
backbone	The portion of a binding that connects the front of a book with the back of a book; also called "back."
lines per inch	The number of lines or rows of dots there are per inch in a screen and therefore in a screen tint, halftone, or separation.
diffusion	The transmission of ideas or materials from culture to culture, or from one area to another
guilloche	An ornament formed by two or more intertwining bands or interlacing figure eights frequently enclosing rosettes or other details.
midtones	In a photograph or illustration, tones created by dots between 30 percent and 70 percent of coverage, as compared to highlights and shadows.
negative	Characteristic of an image on film or paper in which blacks in the original subject are white or clear and whites in the original are black or opaque
stock	A term for unprinted paper or other printing material.
fold	Bending and creasing a sheet of paper as required to form a printed product.
front-curtain sync	The default kind of electronic flash synchronization technique, originally associated with focal plane shutters, which consists of a traveling set of curtains, including a front curtain (opens to reveal the film or sensor) and a rear curtain (follows at a distance determined by shutter speed to conceal the film or sensor at the conclusion of the exposure)
restoration	A proper renewal of a piece by a candid replacement of hopelessly damaged or mssing parts.
cost contract	A cost-reimbursement contract in which the contractor receives no fee or profit.
r-number	Radar returns from electron density irregularities in auroral regions
white space	an area of a printed piece that does not contain images or type
mil 1/1000 inch	The thickness of plastic films, “mils”
duotone	Color reproduction from monochrome original
carolingian	The dawning of the Carolingian era rises with Charles Martel, ruler of the Franks, who defeated the Moors at Poitiers in 732 and consolidated the Frankish kingdoms
jog	To vibrate a stack of finished pages so that they are tightly aligned for final trimming or binding.
digital camera	A photographic system that transforms visual information into pixels that are assigned binary codes so that they can be manipulated, compressed and stored or transmitted as electronic files.
mass	Roman Catholic worship service
cardiology	the study of the heart
imprint	To print new copy on a previously printed sheet, such as imprinting an employee's name on business cards
target market	The âidealâ audience for a marketing effort
wire stitching	Bindery process of fastening sheets, signatures, or sections together with wire staples
format	The way data is organized.
gatefold	An oversize page where both sides fold into the gutter in overlapping layers
letterbox	Black bands at the top and bottom of a TV screen to change the aspect ratio of the picture area
latitude	1)The range of exposure a film stock can tolerate and still give substantially correct reproduction
cutoff rule	A horizontal line running under a story, photo or cutline to separate it from another element below.
preview	(F) To screen a completed product to a select audience, usually for approval
frock coat	A long-sleeved, knee-length garment with tails, collars, reverse-buttoning, and back vents
critical thinking	Logical thinking that draws conclusions from facts and evidence.
coatedpaper	Paper with a coating of clay and other substances that improves reflectivity and ink holdout.
maunder minimum	An approximately 70-year period, centered near 1670, during which practically no sunspots were observed.
uncoated paper	Paper that is not clay coated.
die cutting	Cutting irregular shapes in paper.
interval	distance between two pitches
penology	the study of prison management and criminal rehabilitation|.
spot color	A second color added to parts of a page or flat to highlight and emphasize certain copy
hewn	Wood shaped by heavy cutting or chopping blows struck by hand tools such as axes or adzes.
leading	· The space between lines of type.
legacy materials	Art, film or files from previous print jobs for incorporating into a new job.
mark-up	Instructions written to indicate changes, directions or special information.
chenets	Ornamental pieces placed in front of a fire place
logo	Abbreviation for logotype, an artistic assembly of type and art into a distinctive symbol unique to an organization, business or product
coalescence	The joining of genetic lineages to common ancestors when they are traced backwards in time.
almoravid dynasty	The Almoravid Dynasty was a Berber empire located in North Africa during the 11th and 12th centuries AD.
emetology	the study or knowledge of emetics
paleoecology	the study of prehistoric environments by analyzing fossils and rock| strata|
recycled paper	New paper made entirely or in part from old paper.
lithocoated paper	A paper that is coated with a special water-resistant material which is able to withstand the lithographic process.
critical risk	Risk that can jeopardize achievement of a project’s cost, time, or performance objectives.
award expiration	The automatic voiding of issued but unredeemed points, often used to create âbreakage'.
long grain	Alternate term for Grain long (paper).
quickframe	Single channel uncompressed SDTV Digital Disk Recorder from da Vinci, compatible with 525 and 625 video
foil	A Gothic term denoting the intersection point of the junction of circular areas, as in trefoil.
super calendaring	A procedure used in the papermaking process in which the finished surface of paper is made extremely smooth for superior printing quality.
