anaoxygenic photosynthesis	A type of photosynthesis in green and purple bacteria in which oxygen is not produced
stamen	The part of the flower that produces pollen
rigidity	Stiffness or tenseness of muscles; inability to bend or be bent.
platelet	A small enucleated blood cell important in blood clotting; derived from large cells in the bone marrow.
strict anaerobe	An organism that cannot survive in an atmosphere of oxygen
artificial vagina	A device for collecting semen.
nitidus	shining: applied to a highly polished, smooth surface.
f-prime	An extrachromosomal F-plasmid that carries a fragment of chromosomal DNA.
confused	a marking with indefinite outlines: a running together as of lines and spots without definite pattern.
global warming potential	number that represents the relative contribution of a molecule of an atmospheric gas to global warming
midbrain	A part of the brain that is mainly concerned with the control of eye movement
lampbrush chromosome	Giant diplotene chromosome found in the oocyte nucleus
gel shift assay	Also known as gel retardation assay or gel mobility shift assay
alkaliphile	An organism that grows optimally at high pH (alkaline conditions)
laterad	toward the side and away from the median line.
electron acceptor	Atom or molecule that takes up electrons readily, thereby gaining an electron and becoming reduced.
adrenalitis	Inflammation of the adrenal gland.
longevity	The average life span of individuals in a population.
contraception	The prevention of pregnancy.
nadp	Abbreviation of nicotinamide adenine dinucleotide phosphate, a coenzyme that functions as an electron acceptor in the lightdependent reactions of photosynthesis.
effected	somewhat angularly bent outward.
median shade or line	in Lepidoptera, crosses at or about middle of wings.
net primary productivity	The amount of energy primary producers (organisms that produce their own food from an external energy source such as the sun) capture and convert to tissue minus the amount they lose in cellular respiration.
triquetral	= triquetrous.
noncovalent attraction	Chemical bond in which, in contrast to a covalent bond, no electrons are shared
crystalline	transparent, like crystal.
solute	A substance that is dissolved in a solution.
groundwater	Water found underground as a result of rainfall, ice and snow melt, submerged rivers, lakes, and springs
accrete	v
pseudopodia	Fingerlike extensions from an amoeboid cell; literally "false feet".
peyer's patch	A region of lymphoid tissue in the submucosa of the intestine that is rich in B cells and germinal centers.
albedo	ratio of electromagnetic radiation reflected relative to the amount of radiation incident on a surface
synchronous	happening at the same time.
polyphyletic	genetically heterogeneous, because of having arisen from different ancestral groups.
arginine	A non-essential amino acid believed to play a part in the neurodegeneration of HD.
macronutrients	fats, carbohydrates, and proteins that provide essentially all of the energy and most of the raw material for repair and synthesis
alcohol	A compound consisting of a hydrocarbon skeleton with one or more hydroxyl group
biology	The scientific study of life.
cope's rule	The generalization (not always confirmed) that body size tends to increase in an animal lineage during its evolution.
horotelic	Evolving at a comparatively average rate.
g protein–coupled receptor	Member of an important class of cell-surface receptors that have seven transmembrane α helices and are directly coupled to a trimeric G protein
mole	One gram molecular weight of a compound
oxygen-transport pigment	See respiratory pigment.
bordeaux mixture	the first practical fungicide used by Millardet in 1883-1885 against downy mildew of grape vine (Plasmopara viticola), and still in general use for controlling many plant diseases; it contains 4 parts copper sulphate, 4 parts quicklime, 500 parts water.
dictyosome	see GOLGI BODY.
corticosteroid	Any steroid hormone produced and secreted by the adrenal cortex.
chemoautotroph	Organism that obtains energy from the oxidation of chemical, generally inorganic, compounds and carbon from carbon dioxide.
manicate -us	fur-like: surface clothed with irregular depressed hair.
inflammatory response	A localized innate immune defense triggered by physical injury or infection of tissue in which changes to nearby small blood vessels enhance the infiltration of white blood cells, antimicrobial proteins, and clotting elements that aid in tissue repair and destruction of invading pathogens; may also involve systemic effects such as fever and increased production of white blood cells.
haemoglobin	the coloring matter of blood which serves to carry oxygen.
oligonucleotide chips	Oligonucleotide chips consist of small glass plates with thousands of short 20-mer oligonucleotide probes attached to their surface
lenticular	round, doubly convex; like a lens or lentil.
alcohol	An organic compound containing a -OH group
cell	The fundamental unit of life.
anaerobic	Describes a cell, organism, or metabolic process that functions in the absence of air or, more precisely, in the absence of molecular oxygen (O2).
ribosomes	Components within cells that assist in making proteins from amino acids.
intermediary metabolism	In cells, the enzyme-catalyzed reactions that extract chemical energy from nutrient molecules and utilize it to synthesize and assemble cell components.
nitrogen fixation	Reduction of dinitrogen gas (N2) to ammonia (NH3) by the enzyme nitrogenase.
carbonyl groups	A functional group present in aldehydes and ketones and consisting of a carbon atom double-bonded to an oxygen atom.
section	A very thin slice of tissue, suitable for viewing under the microscope.
imprinting	a biochemical phenomenon that determines, for certain genes, which one of the pair of alleles, the mother's or the father's, will be active in that individual.
arboviruses	Arthropod-borne viruses.
transfection	An artificial process of infecting cells with naked viral DNA.
multiple alignment	An alignment of multiple sequences that inserts gaps into the individual sequences in order to align conserved sequences in the same column.
extense	extended: expanded.
longitudinal study	A study that follows a population forward over time.
terrestrial	On the ground; also on or of the planet Earth.
combinatorial chemistry	The use of chemistry to generate large numbers of molecules that are different but are structurally related
medusa	The floating, flattened, mouth-down version of the cnidarian body plan
amino acid	An organic acid containing an amino group (-NH2) and a carboxyl group (-COOH)
wavelength	The distance between crests of waves, such as those of the electromagnetic spectrum.
non-tandem duplication	Aberration in which the duplicated segment of a chromosome is not adjacent to the original copy.
chemical bond	An attraction between two atoms, resulting from a sharing of outer-shell electrons or the presence of opposite charges on the atoms
veneral disease	Disease spread by sexual intercourse.
micro-	Prefix denoting 10–6.
deletion	Type of mutation in which a single nucleotide or sequence of nucleotides has been removed from the DNA.
synaptic signaling	Type of cell–cell communication that occurs across chemical synapses in the nervous system.
nucleus	A cluster of functionally related neuronal cell bodies in a vertebrate central nervous system.
polynucleotide	A covalently linked sequence of nucleotides in which the 3' hydroxyl of the pentose of one nucleotide residue is joined by a phosphodiester bond to the 5' hydroxyl of the pentose of the next residue.
genoholotype	the species on which a genus is founded, whether unique or one of a series, specifically named as generic type by the author.
haplotype	Particular combination of closely linked alleles that tend to be inherited as a unit.
polyatomic molecule	molecule consisting of three or more atoms
tetrad	A paired set of homologous chromosomes, each composed of two sister chromatids
competition	Relationship between organismic units (for example, individuals, groups, species) attempting to exploit a limited common resource in which each unit inhibits, to varying degrees, the survival or proliferation of another unit by means other than predation.
terminal	situated at the tip or extremity; opposed to basal.
metabolic pathway	A sequence of chemical reactions involved in metabolism
sub-parallel	nearly parallel.
hydrogen bond	A type of weak chemical bond formed when the slightly positive hydrogen atom of a polar covalent bond in one molecule is attracted to the slightly negative atom of a polar covalent bond in another molecule.
polygonal	with many angles.
monosaccharide	A carbohydrate consisting of a single sugar unit.
live cell array	A micro-system for the high-throughput analysis of intact cells.
dormant	/DORE-mənt, -mant/ adj
hydrofluorocarbons	compounds of hydrogen, fluorine, and carbon
efferent	carrying outward or away from the centre.
carbon cycle	Sequence where carbon dioxide is converted to organic forms by photosynthesis or chemosynthesis, recycled through the biosphere, with partial incorporation into sediments, and ultimately returned to its original state through respiration or combustion.
supernumerary	additional or added cells, veins or other structures.
elevate -us	a part higher than its surroundings.
cross resistance	The condition in which resistance to one pesticide or antibiotic confers increased resistance to a second pesticide or antibiotic.
erect	standing upright; not necessarily perpendicular.
integral proteins	penetrate the hydrophobic core of the lipid bilayer, often completely spanning the membrane (as transmembrane proteins).
curated database	A database developed by a curator with domain expertise
endergonic reaction	A nonspontaneous chemical reaction, in which free energy is absorbed from the surroundings.
atom	smallest unit of an element that can exist as a stable, independent entity
diffusion	The spontaneous tendency of a substance to move down its concentration gradient from a more concentrated to a less concentrated area.
function	the work or duty which a given part or organ normally performs.
flavin adenine dinucleotide	A coenzyme that functions as an electron carrier in oxidation/reduction reactions.
praire restoration	An attempt to recreate a prairie climax community within 10 years, when this process naturally takes several hundred years through manipulation of mechanisms of succession to rapidly achieve climax conditions by greatly increasing seed availability, reducing competition by early-successional species, and amending soil to better match late-succession conditions.
complex medium	Medium whose precise chemical composition is unknown
hydrophilic	Describes a polar molecule or part of a molecule that forms enough energetically favorable interactions with water molecules to dissolve readily in water
dorso-ventral	in a line from the upper to the lower surface.
crossing-over	During the first meioticprophase
matrix	The nonliving component of connective tissue, consisting of a web of fibers embedded in homogeneous ground substance that may be liquid, jellylike, or solid.
density-dependent inhibition	The phenomenon observed in normal animal cells that causes them to stop dividing when they come into contact with one another.
entomotomist	a student of insect structure.
isotope	One of two or more variations of the same chemical element, differing in the number of neutrons not the number of protons.
amyloid	Another term for beta-amyloid
batch culture	Growth of bacteria in a fixed volume of liquid medium in a closed vessel, with no additions or removals made during the period of incubation.
solution	A liquid that is a homogeneous mixture of two or more substances.
deletion	A removal of a portion of a gene.
internode	In plants, the region of the stem between where the leaves are attached.
intervening sequence	See intron.
photic zone	The narrow top slice of the ocean, where light permeates sufficiently for photosynthesis to occur.
starch	a complex polymer of glucose, used by plants and green algae to store surplus sugar for later use.
vitamin c	A vitamin with antioxidant properties that may help protect nerve cells from free radical damage and glutamate toxicity
genotype	The precise genetic constitution of an organism
regression	A statistic that describes the relationship of two variables
concurrent	applied to a vein which arises separately, runs into another and does-not again separate.
basal ganglion	Singular form of basal ganglia.
converging	approaching each other toward the tip.
antiserum	The blood serum obtained from an animal after it has been immunized with a particular antigen
fissate	divided or split: with fissures or cracks.
amoeba	A genus of free-living amoebae
lanceolate	lance- or spear-shaped: oblong and tapering to the end.
homoeochromatism	applied when over a given region many butterflies tend to vary similarly as regards color.
difformis	irregular in form or outline: not comparable; anomalous
heterolactic fermentation	A type of lactic acid fermentation in which sugars (e.g
ureter	The duct that carries nitrogenous waste from the kidney to the bladder.
coadaptation	Process of selection acting on units of two or more genes.
cork	The outer layer of the bark in woody plants; composed of dead cells
great chain of being	The eighteenth-century concept that instead of a static universe, there is a continuous progression of stages leading to a superior supernatural being; the transformation of the "Ladder of Nature" into a succession of moving platforms.
industrial melanism	The effect of soot and pollution in industrial areas in increasing the frequency of darkly pigmented (melanic) forms perhaps because of selection by predators against nonpigmented or lightly pigmented forms.
indigenous species	A species that is native to a give area if its presence was obtained by natural processes.
phenotypic value	The measurement of a given quantitative trait for a given individual.
all-or-none	Occurring fully or not at all; not graded.
termination sequence	A DNA sequence that appears at the end of a transcriptional unit and signals the end of transcription.
cerebellar cortex	The outermost portion of the cerebellum.
overstory	The larger, taller trees that of a forest that overtop and shade younger and smaller trees and shrubs.
patulous-ose	open, spreading.
undernourishment	condition in which a person's daily caloric intake is insufficient to meet metabolic needs
nascent rna	The initial transcripts of RNA, before any modification or processing.
sequence tagged site	A short DNA sequence with a known chromosomal location that occurs once within the human genome.
citric acid cycle	Another term for the Krebs Cycle.
chromosomes	Structures in the nucleus
toll-like receptor family	Important family of mammalian pattern recognition receptors abundant on macrophages, neutrophils and the epithelial cells of the gut
goldman equation	An equation that describes membrane potential in terms of the concentrations of and membrane permeabilities to more than one ion species.
geometric isomers	Compounds that have the same molecular formula but differ in the spatial arrangements of their atoms.
darwinian fitness	A measure of the relative contribution of an individual to the gene pool of the next generation.
muscular system	The muscular system is the biological system of animals that allows them to move internally and externally.
coupled reactions	In cells, the linking of endergonic (energy-requiring) reactions to exergonic (energy-releasing) reactions that provide enough energy to drive the endergonic reactions forward.
randomized	the process of assigning patients to different forms of treatment in a research study in a random manner
turgid	Very firm
phylogenetic profiling	A method for predicting the function of a protein that is based on the correlation of protein inheritance across different species
inaequalis	unequal.
fatiscent	with cracks, crevices or openings.
heterokaryon	Cell possessing two nuclei derived from different cells through cell fusion.
pillow lava	Lava extruded beneath water characterised by pillow-type shapes.
vtn	Vaccine Trials Network
selective pressure	An environmental factor that favors the survival and reproduction of those genetic variants within a population that are better adapted to the environment.
prototype	a primitive form to which later forms can be traced.
bacterium pl. bacteria	A prokaryotic microorganism in Domain Bacteria.
tera-	A prefix indicating 10 to the power of 12; a trillion.
complementary	A property of DNA whereby each nitrogenous base pairs with another particular base (A with T and G with C); two complementary single strands have nucleotide sequences that enable their bases to pair up; see Figure B-8.
globus pallidus	One of the components of the basal ganglia
refugia	Locations in which species have persisted while becoming extinct elsewhere.
mdr protein	see multidrug resistance protein
interleukin-1	A cytokine that mediates various inflammatory activities
tunica intima	the inner layer of the silk glands: an inner lining or membrane.
plicate	plaited; folded like a fan.
alk	Alkaline.
microgram	one-millionth of a gram: written as `g'.
piezoelectric	Becoming electrically polarised when subject to the mechanical stress; quartz for example produces an electric charge when squeezed.
neuropsychiatrist	A physician who treats people with psychiatric symptoms that are caused by a brain disorder
paleoanthropology	The study of human origins and evolution.
sub-servate	denticulate.
central dogma	The organizing principle of molecular biology: genetic information flows from DNA to RNA to protein.
refined	refers to breads and cereals in which the fibrous bran and germ are removed from the grain by machinery
ectoproct	A sessile, coloniallophophorate commonly called a bryozoan.
absorption spectrum	The range of a pigment's ability to absorb various wavelengths of light.
implant	See implantation.
maximum parsimony	A principle that states that when considering multiple explanations for an observation, one should first investigate the simplest explanation that is consistent with the facts.
bovine spongiform encephalopathy	A form of transmissible spongiform encephalopathy (TSE) that affects cattle.
discopodous	/də-SKAWP-pə-dəs, dis-/ adj
metallic bonding	"electron sea" model, in which outermost (valence) electrons are shared among all the atoms in the substance
extrorse -um	toward the outside.
contrasting	appearing in sharp relief or contrast; as one color or marking against another.
denaturation	A change in the tertiary (three-dimensional) structure of an intact protein that renders the protein nonfunctional
aqueous	Pertaining to water, as for example, in an aqueous solution.
clathrate	latticed or lattice-like in appearance.
aggregated	crowded together as closely as possible.
suicide inhibitor	A relatively inert molecule that is transformed by an enzyme, at its active site, into a reactive substance that irreversibly inactivates the enzyme.
secondary consumer	A member of the trophic level of an ecosystem consisting of carnivores that eat herbivores.
angstrom	A unit of measure used to measure inter-atomic distances within molecules equal to 10-10 meter.
peptidoglycan	A major component of bacterial cell walls; generally consists of parallel heteropolysaccharides cross-linked by short peptides.
ordure	excrement; usually applied to such as is foul or offensive.
nucleotide	A nucleoside phosphorylated at one of its pentose hydroxyl groups.
contingency chi-square	A chi-square test performed for the comparison of two sets of data.
partial pressure	A measure of the concentration of one gas in a mixture of gasesThe pressure exerted by a particular gas in a mixture of gases
fairy ring	mushrooms arising at the periphery of a radially spreading underground mycelium; common in grasslands, and around conifers.
transgenic	Describing an organism that contains transfected DNA in the germ line.
basal	Situated near the base
perennial	A plant which continues to grow after it has reproduced, usually meaning that it lives for several years.
companion cells	Specialized cells in the
map unit	see genetic map distance
temperate grassland	A terrestrial biome dominated by grasses and forbs.
sinuate	cut into sinuses; applied to lines and margins with an in and out curve.
cyclin	A
dorsal	/DORE-səl/ adj
insight learning	Modification of an organism’s behavior brought about by combining information received from the environment in new ways to solve problems
dual action drug	A dual action drug is a compound which combines two desired different pharmacological actions at a similarly efficacious dose.
ribonucleic acid	A single stranded nucleic acid containing ribose and using uracil in place of thymine
isomer	One of several organic compounds with the same molecular formula but different structures and therefore different properties
antioxidant	A molecule that is capable of reacting with free radicals and neutralizing them.
lysosome	Membrane-bounded organelle in eucaryotic cells containing digestive enzymes, which are typically most active at the acid pH found in the lumen of lysosomes.
argentate	shining, silvery white.
cation	a positively charged ion.
yeast	Common term for several families of unicellular fungi
monophyletic	Term applied to a group of organisms which includes the most recent common ancestor of all of its members and all of the descendants of that most recent common ancestor
book lungs	Lungs within which sheets of gas-exchange tissue alternate with sheetlike air spaces, like pages of a book slightly separated by air
fuseo-rufous	red-brown, approaching liver brown.
conico-acuminate	in the form of a long, pointed cone.
taphonomy	n
metabolism	The totality of an organism's chemical reactions, consisting of catabolic and anabolic pathways.
cosmid	A DNA molecule with cos ends from lambda-bacteriophage that can be packaged in vitro into a virus for infection purposes .
denitrification	The process by which certain bacteria living in poorly aerated soils break down nitrates, using the oxygen for their own respiration and releasing nitrogen back into the atmosphere.
epitope	A portion of an antigen recognized by an antibody binding site
food chain	The pathway along which food is transferred from trophic level to trophic level, beginning with producers
scutel	= scutellum: q.v.
proton-motive force	Driving force that moves protons across a membrane as a result of an electrochemical proton gradient.
polyphyletic	Term applied to a group of organisms which does not include the most recent common ancestor of those organisms; the ancestor does not possess the character shared by members of the group
elastic	a part which has a degree of flexibility throughout.
molecular mass	The sum of the masses of all the atoms in a molecule; sometimes called molecular weight.
biocompatible	A material that is biologically compatible with the body
standard deviation	The square root of the variance.
primary structure	A description of the covalent backbone of a polymer (macromolecule), including the sequence of monomeric subunits and any interchain and intrachain covalent bonds.
white rust	disease of crucifers caused by Albuginaceae (Peronosporales: Oomycota).
multivesicular body	A lysosomal structure containing inner vesicles.
substrate	The specific compound acted upon by an enzyme.
oxygen debt	The extra oxygen (above the normal resting level) consumed in the recovery period after strenuous physical exertion.
thymine	One of the four nitrogenous bases found in DNA; pairs with the base adenine; often abbreviated as the letter "T"; see Figure B-3.
endosymbiosis	A relationship between two different organisms in which one (the endosymbiont) lives within the tissues or cell of the other, benefiting one or both
community ecology	The study of how resource availability influences ecosystem characteristics, including the number and types of species present.
hill reaction	The evolution of oxygen and the photoreduction of an artificial electron acceptor by a chloroplast preparation in the absence of carbon dioxide.
coadaptation	The action of selection in producing adaptive combinations of alleles at two or more different gene loci.
apothecium	Open ascoma of fungi in the phylum Ascomycota.
reduction potential	Inherent tendency of a compound to act as an electron donor or an electron acceptor
vascular tissue	In plants, one of the three main types of tissue, this tissue consists of tubes and associated cells which transport water and nutrients throughout the plant.
violaceous	violet colored: a mixture of blue and red [violet carmine].
dna polymerase	Enzyme that synthesizes DNA by joining nucleotides together using a DNA template as a guide.
low-density lipoproteins	Molecules made of lipids and proteins that carry cholesterol and fat through the bloodstream.
triacylglycerol	An ester of glycerol with three molecules of fatty acid; also called a triglyceride or neutral fat.
capsid	The protein coat of a virion or virus particle.
stasis	A period of equilibrium during which change appears to be absent, for example, in the concept of punctuated equilibrium
basalt	Highly mafic igneous volcanic rock, typically fine-grained and dark in color; rough volcanic equivalent of gabbro.
hominid	A member of the family Hominidae, which includes humans, whose earliest fossils can now be dated to about 4 million years ago (genus Australopithecus)
adhesion	The tendency of unlike substances to stick together
fibrinogen	A protein present in blood plasma that causes blood clots when the stress response is activated.
dioecious	/die-EE-shəs/ adj
tuberculin test	A test for previous infection with Mycobacterium tuberculosis.
age structure	The relative number of individuals of each age in a population.
restoration ecology	The scientific study of repairing disturbed ecosystems through human intervention; an attempt to speed successional processes to reach a desired climax community.
exposure	amount of a substance encountered, generally in reference to human contact with a toxic substance or a disease-causing organism
chemostat	A continuous culture device controlled by the concentration of limiting nutrient and dilution rate.
mortality rate	Proportion of individuals that die in a specific age class
glaucus	shining sea-green: whitish blue inclining to gray lavender.
fatty acid	A long-chain hydrocarbon containing a carboxyl group at one end
hypocrateriform	salver-shaped.
lamarckism	The theory that evolution is caused by inheritance of character changes acquired during the life of an individual due to its behavior or to environmental influences.
exergonic reaction	A chemical reaction that proceeds with the release of free energy (that is, for which ΔG is negative).
kinetics	The study of the rate of change.
intermolecular attractive force	attraction between two molecules resulting from the interactions of their electron clouds and nuclei
cancer	A malignant, invasive cellular tumor that has the capability of spreading throughout the body or body parts.
osmoregulation	Adaptations to control the water balance in organisms living in hypertonic, hypotonic, or terrestrial environments.
drug therapy	The use of a chemical compound or molecule to treat a disease
frequency distribution	Graphical way of representing values
homologous	Describes organs or molecules that are similar because of their common evolutionary origin
binomial nomenclature	System of having two names, genus and specific epithet, for each organism.
coxa -ae	the basal segment of the leg, by means of which it is articulated to the body.
protein	class of biochemical compounds constructed from amino acids
articulation	the point or place where two parts or segments are joined: also applied to an individual joint or segment.
extinction	When all the members of a clade or taxon die, the group is said to be extinct.
aerobic respiration	chemical process by which energy is released from food using oxygen.
tumor	A mass of cells, generally derived from a single cell, that is not controlled by normal regulators of cell growth.
sex ratio	The relative proportions of males and females in a population.
cosanguine	Related by a common ancestor.
shingles	Most people have been infected with at least one of these types of herpes virus.
dissociation curve	A chart showing the relative amounts of oxygen bound to hemoglobin when the pigment is exposed to solutions varying in their partial pressure of dissolved oxygen, pH, or other characteristics.
capping	Covalent modification involving the addition of a modified guanidine group in a 5'-5" linkage
motif	In proteins, a structural unit exhibiting a particular three-dimensional architecture that is found in a variety of proteins and usually is associated with a particular function
translocase	(1) An enzyme that catalyzes membrane transport
trehalose	a crystalline sugar, C12H22O11, characteristically found in fungi.
deuterium	An isotope of hydrogen containing one proton and one neutron, giving it twice the mass of an ordinary hydrogen atom.
catalyst	Substance that can lower the activation energy of a reaction, thus increasing its rate.
glycosidic bonds	Bonds between a sugar and another molecule (typically an alcohol, purine, pyrimidine, or sugar) through an intervening oxygen or nitrogen atom; the bonds are classified as O-glycosidic or N-glycosidic, respectively.
flavoprotein	An enzyme containing a flavin nucleotide as a tightly bound prosthetic group.
hdac inhibitors	Abbreviation for histone deacetylase inhibitors.
catalyst	A substance that increases the rate of a chemical reaction without undergoing a permanent change in its structure
arrestins	Multifunctional adaptor proteins that are important in regulating desensitization and signalling by seven-transmembrane receptors and other transmembrane receptors.
humus	Decomposing organic material found in topsoil.
atcc	American Type Culture Collection.
bomb calorimeter	A device used to measure the energy content of organic materials.
end product	substance formed as a result of an enzyme acting on its substrate.
neuronal intranuclear inclusions	Another term for neuronal inclusions.
learning	A behavioral change resulting from experience.
nitrogen-fixing bacteria	bacteria that remove nitrogen from the air and convert it to ammonia
