frequency modulation synthesis	See Wave Table Synthesis.
pipe	A direct connection that carries the output of one process to the input of another without an intermediate temporary file
forum	A commonly used term for a discussion group implemented by means of one or more web pages instead of a traditional Usenet news group.
whm	WebHost Manager
device driver	A software subsystem which facilitates communication between a computer system and a hardware device
pat	File extension
marshaling	Process of readying an object for transfer across an application domain, context, or process boundary.
modular	Being made up of a number of individual pieces that can each be replaced without having to change the whole.
enumeration_io	a predefined generic package exported by Ada.Text_IO, used to support input and output of text representing values of enumeration types.
mpeg-2	MPEG-2 is used for digital video at low compression rate
dde	Dynamic Data Exchange
rrd	Removable Rigid Disk
cut and paste buffer	See clipboard.
uniform resource characteristic	Se URC
call by value	An argument-passing mechanism in which the formal arguments refer to a copy of the actual arguments, and the subroutine cannot change the actual arguments by changing the formal arguments
object	An instance of a class
jre	Java Runtime Environment
discussion thread	In an online forum such as a newsgroup, a series of messages or articles in which replies to a message are nested directly under it, instead of the messages being arranged in chronological or alphabetical order.
wireless n	A local area wireless network that uses the 802.11n standard (or the draft version of it)
declarative part	the section of a program unit or block that contains declarations.
parameter profile	the number of parameters, the base type of each parameter at each position, and the base type of the result (in the case of a function)
broadcasting spectrum	The range of radio waves over which wireless devices communicate.
gsan	Combines multiple Google Search Appliances to increase document capacity and to enable single-node replication
drvspace	See DriveSpace.
static method	Method associated with a type rather than an instance of the type
white space	Any single character or series of characters that represents horizontal and/or vertical space.
protocol extension protocol	See PEP
palmtop	A small hand-held, battery-operated computer.
getusername	a method applied to a DatabaseMetaData object to discover the username
import	The act of creating a new file and incorporating content from an external file into the repository as the file's content.
mo	Magneto-optical
multi-target method	a method which can be applied to any of a number of objects
mode	an indication of data flow direction of parameters
crm	Customer Relationship Management
explicit code	Rather than calling a function, writing out the code to execute the function directly
plug-in	Software or hardware used to modify or add to an existing program
pdm	Process Debug Manager
qb	Quick BASIC
hop count	A measure of distance between two points on the Internet.
bits per second	See BPS
seamless computing	Term indicating that a user should be able to move through various hardware and software contexts effortlessly and intuitively.
write	An inbuilt procedure that outputs data without adding an end-of-line marker, so that the next piece of output or input will be on the same line.
precedence	The rules of conduct that, in the absence of other guidance, determine what should happen first
ces	The Consumer Electronics Show, which takes place each January in Las Vegas, Nevada.
architecture	The design and structure of specific components of a computer system and how they connect and interact with one another.
cathode-ray tube	See CRT
esp	See "Microsoft ESP".
ppp	Point-to-Point Protocol
gs	File extension
autoincrement	To add one to something automatically, hence the name of the the ++ operator
psu	Power Supply Unit.
id3	A tag associated with MP3 files which holds information such as the track's artist name and track title
hash	An unordered association of key/value pairs, stored such that you can easily use a string key to look up its associated data value
rotfl	Roll on the floor laughing.
cpan	The Comprehensive Perl Archive Network
coast	Cache On A Stick
thunderbird	The email program associated with the Firefox web browser
dpi	Dots per inch
dependency	a dependency between two package exists if one package references elements of the other
molecular electronics*	Any system with atomically precise electronic devices of nanometer dimensions, especially if made of discrete molecular parts rather than the continuous materials found in today's semiconductor devices.
specification	the part of an Ada program unit that specifies its interface to other (client) units -- the unit's declaration without the final semi-colon.
ascii	"Askey"
greedy	A subpattern whose quantifier wants to match as many things as possible.
pss	Product Support Services
pct	Private Communications Technology
adaptation	a process of selection, generation or modification that produces one or more perceivable units in response to a requested uniform resource identifier in a given delivery context.
sd	Secure Digital
vfw	Video For Windows
lan	A network that interconnects devices over a geographically small area, typically in one building or a part of a building
impatience	The anger you feel when the computer is being lazy
class hierarchy	aka Generalization-Specialization Class Hierarchy
anisotropic filtering	A term used in computer graphics
electronic document	A document which is in electronic form.
ics	Internet Connection Sharing
webcam	A video camera that attaches to your computer and allows you to upload images or video to the Web.
slam	Specifications, Languages, Analysis, and Model checking project explores the relations among these areas of software development.
disk allocation unit	See Cluster.
msaa	Microsoft Active Accessibility
python	Python is a general-purpose high-level programming language whose design philosophy emphasizes code readability.
life data model	Life information model for life insurance.
encoder	A program which encodes data, or converts it to another format
suwin	Setup For Windows
here docs in ruby	Here are different examples:
hue-saturation-brightness/value	See HSB
bridge	Bridge is a network related term
gpmc	Group Policy Management Console
hips	Host-based Intrusion Prevention System - i.e
form	A term used with many modern programming languages and also with database programs
windows messaging	Microsoft Exchange (see that entry)
red book	See "Book".
bus	An electronic pathway
auto catalog markup language	Automotive Catalog Markup Language
statement	The whole syntactical construction of assignment: purchases+=(mugs*orders);
key	The string index to a hash, used to look up the value associated with that key.
bps	Bits per second, as in a modem's transmission rate
cluster	A group of search appliances that work together.
lifetime	Duration of an object's existence from instantiation through garbage collection.
blue book	See Book.
dmo	Distributed Management Objects
abort	a reserved word used in an abort statement to terminate execution of a task and other tasks dependent upon it.
ime	Input Method Editor
explicit conversion	a type conversion that results from explicit coding by the programmer.
keymatch	Administrator-defined keywords that promote specific web pages on a site
gb	Gigabit
diz	File extension
cpanel	A browser-based menu system for servers
properties	The properties of an object are the data members that make up the object, that is, the attributes of the type of the object
active	The only descriptions of this term that I have managed to find have been written in Microsoft's meaningless management/marketing language, which has virtually no information content
recharging cradle	A base connected to a power outlet into which you can place a device that runs on rechargeable batteries in order to recharge those batteries.
dap	Refer to Directory Access Protocol.
cracker	Someone who breaks security on computer systems
result transformer	A transformer that converts content from Adapter Result format into Simple Result format.
granularity	The size of the pieces you're dealing with, mentally speaking.
u-interface	adj
otp	One-Time Password
mpeg-4	A standard currently under development designed for videophones and multimedia applications
extensible markup language query	A flexible query facilities to extract data from real and virtual documents on the Web, therefore finally providing the needed interaction between the web world and the database world
queue	an ordered "line up" of tasks waiting to have entry calls accepted.
modem	Modulator/demodulator
adware	Any software which serves banner ads or pop-up ads to you while in use
e-mail	Slang for electronic mail, this is the system that lets people send and receive messages with their computers.
v.22	The standard for half-duplex communication at 1200 bps.
pcx	File extension
wireless g	A local area wireless network that uses the 802.11g standard
class versus module	  in Ada, these two concepts are kept separate
bo	Buffer Overrun
comments	Author-entered descriptions in program code meant for human programmers to read, not JavaScript interpretation.
lifo	Last In, First Out
actionscript	The programming language for Adobe Macromedia Flash applications.
https	Hypertext Transfer Protocol - Secure
event	A notification that signals a special situation in time
integer	A number without a fractional part.
high color	16-bit colour (65,536 colours).
is-a rule	a rule to help clarify a subclass-superclass relationship
matching	See pattern matching.
vesa	Video Electronics Standards Association
monger	Short for Perl Monger, a purveyor of Perl.
pki	A hierarchy of "certification authorities" to allow individuals and organizations to identify each other for the purpose (principally) of doing business electronically.
cmos	Complementary Metal Oxide Silicon
type constructor	syntax allowing complex types to be described in terms of simpler ones
itc	Internet Transfer Control
symbolic debugger	A program that lets you step through the execution of your program, stopping or printing things out here and there to see whether anything has gone wrong, and if so, what
interlacing	Interlacing is method used to accommodate long waits on a busy network
bps	Bits per second
distro	Distribution
op	Original poster
driver	a software component allowing a software system to use databases stored on DBMSs by a particular vendor
concatenation	The process of gluing one cat's nose to another cat's tail
scanner	A device which scans a printed image and produces a bitmapped image file of it.
bilinear filtering	A term used in computer graphics
writeln	An inbuilt procedure that outputs data followed by an end-of-line marker such as carriage return/line feed, so that the next piece of output or input will be on the next line.
modality	The type of communication channel used for interaction
undernet	An IRC (Internet Relay Chat) network.
ruby pseudo-variables	They are special variables that have the appearance of local variables but behave like constants
hpfs	High Performance Filing System
ternary association	an association between three different classes
mac	A system of rules used to move data from one physical medium to another.
script	A series of program statements that instruct the computer on how to accomplish a task.
encarta	Microsoft's CD-ROM encyclopedia.
records management	The discipline and organizational function of managing records to meet operational business needs, accountability requirements and community expectations.
hacker	Someone who is brilliantly persistent in solving technical problems, whether these involve golfing, fighting orcs, or programming
dsp	Delivery Service Partner
line in jack	The I/O panel jack where you plug a traditional audio-producing device (stereo, VCR, and so on) into the PC for capturing sound.
subwoofer	A speaker box designed for low-frequency sounds, which gives oomph to the bass in music or adds emphasis to the sounds in games.
type library	A term used in object oriented programming
