retainer	Act of a client in hiring an attorney
contract	An agreement between two or more persons which creates an obligation to do or not to do a particular thing
nunc pro tunc	"Now for then." Action applied to acts which should have been completed at an earlier date than actually were, with the earlier date listed as the completion date.
compensatory damages	Money awarded to reimburse actual costs, such as medical bills and lost wages
immaterial	Not essential or necessary, not important or pertinent; not decisive; of no substantial consequence; without weight.
chapter 7 bankruptcy	A type of bankruptcy in which a person's assets are liquidated (collected and sold) and the proceeds are distributed to the creditors.
state court	Within the U.S
prime facie	On the face of it - factually
inquest	A legal inquiry, before a court of law and other officers legally empowered to hold inquiries, usually to determine the cause and circumstances of a death.
mitigation	Circumstances suggesting that a lesser sentence is appropriate.
exonerate	To clear from blame or to relieve from responsibility.
trial courts	Superior and municipal courts.
breach of contract	Legally inexcusable failure to perform contractual obligation.
lawyer	A person qualified to represent clients in a court of law and to advise them on legal matters
incarcerate	To confine to a jail.
good faith	Honest belief; the absence of malice and design to defraud.
debtor	A person who owes money, goods or services to another.
penal code	The body of law defining most criminal offenses in California
limited partnership	An unincorporated association or fir in in which partners are relieved of liability beyond the amount of the capital contributed by them.
equity	Generally, justice or fairness; body of principles that determine what is just or fair
person	An individual or an organization
pedophile	A person who’s sexual perversion in which child are preferred as sexual partner
habitual offender	Also known as a "recidivist
strict liability	A concept applied by courts in product liability cases in which a seller is liable for any and all defective or hazardous products that unduly threaten a consumer's personal safety.
preclude	To prevent or stop.
amend	To change.
antipsychotic	Medications that are usually used to treat psychosis
ab inito	From The beginning
proposition 36	A law passed in November 2000 requiring the courts to provide drug treatment instead of incarceration to most individuals convicted of non-violent drug offenses
deuce	Colloquial term for driving under the influence of an intoxicating drug or liquor.
tracking number	The assigned 12-digit number that identifies the defendant and incident throughout criminal proceedings; the number identifies the year (first 2 digits), the origin of the charging document (next 4 digits), and the place of the charge(s) within the sequence of changes issued that year (last 6 digits).
- u - undertaking	A promise or security in any form; may be one sided
bigamy	Any married person, who while still married, marries or cohabits in this state with another.
liability	Any legal responsibility, duty or obligation.
proximate cause	An event (including a failure to act) that produces, without any intervening cause, in the injury and without which the injury would not have occurred.
seal	The symbol of authenticity.
mental health treatment	A special condition the court imposes to require an individual to undergo evaluation and treatment for a mental disorder
