intimo	"intimately"
cello	Small violone (violone means "big viola")
end pin	The metal post where the back end of the strap connects
marcato	marked; i.e., accentuatedly, execute every note as if it were to be accented
col legno	Use the wood (back) of the bow (for string players)
stave/staff	The five lines and four spaces on which notes are written
perpetuum mobile	Continuous rhythmic motion, employing a consistent note value that proceeds rapidly without pause for an entire section or movement.
leggiero	Lightly.
slentando	Get gradually slower.
coperti	on a drum, muted with a cloth.
sonoro	with rich tone or resonant
dolce	sweetly, gently.
allegro commodo	a conveniently rapid tempo.
loop stringing	In stringing, loop stringing is a procedure where the string is attached to one tuning pin then bent around the hitch pin and then comes back and is attached to another tuning pin, thereby forming a loop
maestro suggeritore	Master prompter
keys	Wooden levers that are pressed downward in order to activate the action.
prelude	An instrumental introduction to an act within a musical drama.
grave	Very slow.
tierce de picardie	see Picardy third
infurianto	"furiously"
floating bridge	A type of bridge held in place by the string tension (which pulls it one way), and a set of bridge springs.
major triad	A triad featuring a P5 divided into a M3 (bottom) and m3 (top).
bridge cap	A piece of maple laminated to the base of the bridge that holds the bridge pins
letoff button	The adjusting screw that regulates letoff.
vittorioso	victoriously
expressionism	As in the visual arts, a term used to describe works in which the artist's state of mind is the primary concern; similarly applied above all to German music of the early twentieth century, as composed by StraussBerg and Schoenberg.
acoustics	The science or study of sound
backphrasing	A rhythmic alteration in which the melody falls behind the beat.
allegro non presto	an allegro movement, but not too rapid.
h	German for B natural; B in German means B flat
semplicemente	simply
adagissimo	"very slow."
jack	A small piece of wood -- the throwing arm -- that pushes up on the hammer shank as the hammer is being propelled toward the string.
slargando or slentando	becoming broader or slower (that is, becoming more largo or more lento)
concert pitch	Tuning standard where the ‘A’ above middle C = 440 Hz or 440 vibrations per second
sustain	To sing or play a specific note for the specified duration
tuning pins	Adjustable high tensile strength steel shanks that are set into the pinblock in order to attach the strings to the piano
diminuendo	dwindling
alla marcia	In the style of a march.
cymbales charleston	cymbals that are operated by a foot pedal
cadence	The closing sequence of a musical phrase or composition
impromptu	A improvised piece, e.g: Schubert’s Impromptus
node	The spot on a piano wire that creates the division of the wire
assai	"very."
interlude	Piece of instrumental music played between scenes in a play or opera.
parlando or parlante	like speech, enunciated
stage manager	the person who coordinates and manages elements of the performance.
scatenato	unchained, wildly[5]
a piacere	"at pleasure"
assai	very, or very much
très lentement	very slowly.
overtone	A high-pitched sound that a string produces which is not part of its fundamental tone.
senza sordini	String direction – to play without mutes.
di	by, with, of, for
invention	A short contrapuntal piece stemming from a single musical idea
pitch	The note that the string is sounding
fanfare	a trumpet call.
ma non troppo	"but not too much."
etwas	somewhat
alto	high
con delicato	with delicacy.
un poco	"a little."
sul e	"on E", indicating a passage is to be played on the E string of a violin
flat	1
-issimamente	a suffix meaning 'as...as can be', e.g
largo	broadly; i.e., slowly
divisi	divided
forte or f	strong; i.e., to be played or sung loudly
sipario	curtain (stage)
hammer	The entire mallet that is activated by the action to strike the strings.
modéré	moderately, at a moderate speed
encore	‘Again’; A term the audience calls out to the performers when they wish the performers to repeat what has just been sung.
sempre lento malinconico assai	always slowly and in a very melancholy style.
comprimario	“next to the first”; A singer who plays a secondary role such as a confidante, servant, messenger
sempre	"always."
constantine	Roman ruler who shifted the capital of the Empire to the east, converted to Christianity, and founded the Byzantine Empire
keyblocks	Sometimes called the cheekblocks, keyblocks are decorative wooden pieces placed at both ends of the keyboard in order to hold the keyframe in its proper position.
postlude	(lit
bis	"again," "twice."
pianissimo possibile	as softly as possible.
lied	“song”; A German song; [leet], plural Lieder [leader]
ein wenig	a little
douce	sweet
subito	suddenly (e.g., subito pp, which instructs the player to suddenly drop to pianissimo as an effect)
come	as, like
grave	Word to indicate the movement or entire composition is to be played very slow and serious.
double repeating action	A feature of grand pianos where the hammer is reset and ready to play before the key has actually returned to its home position
masquerade	In the context of African practice, masquerade dancers are a feature of religious societies and are identified with different roles
fine	"the end," often in phrases like al fine ("to the end").
leggiero	lightly, delicately
perdendosi	dying away (losing itself)
parallel motion	Melodic lines move in the same direction.
straight side	The straight edge of the piano cabinet on your left when facing the keyboard also known as the spine.
perdendosi	Dying away.
intermedi	Musical interludes performed between the acts of a play in late sixteenth- and early seventeenth-century Italy, involving dance, song and often spectacular scenic effects
sarabande	triple measure.
sidebearing	The angle of deflection from the bridge pin to one of the other termination points of a string
variation	A technique of changing, modifying, or transforming a musical idea.
adagissimo	very, very slow
delicato	delicately
bravo	skillful
register	part of the range of an instrument or voice
tremendo	"frightening"
rit.	held back; i.e., slower (usually more so but more temporarily than a ritardando, and it may, unlike ritardando, apply to a single note)
transpose	To change the key in which a progression is played.
v-bar	The front termination point of the treble strings that is either cast into the iron plate or is attached
bel canto	beautiful voice
capriccioso	"capriciously"
plagal cadence	The chord of the subdominant followed by the chord of the tonic
teflon bushings	A flange bushing made from teflon instead of wool to reduce ware
dolcissimo/dolciss.	Very sweetly
phrase	see musical phrase.
rest	Silence
attack	The first part of a sound, defined as the amount of time it takes for the acoustic waveform or electronic signal to rise from silence to its greatest amplitude
a 2 absolute music:	Music not explicitly connected with words or specific meaning but exists simply as it is.
sustained decay	A type of decay in which a note continues to sound steadily as long as the note is still being played.
proscenium	The part of the stage between the curtain and the orchestra pit.
fz	see sforzando in this list
con variazioni	with variations.
mini-barre	Fretting two or three strings, but not all of them, with a single finger.
staff	5 horizontal parallel lines on or between which musical notes are written, indicating their pitch or key
dramatis personae	the actors in a play
acceso	ignited, on fire
thumb rest	A plastic or wood bar on a bass guitar on which to rest your thumb.
bourée	duple or quadruple measure.
sentimento	with sentiment.
score	a term used in two senses:
leading-note	Seventh degree of the scale E.g: In G major the Leading-note is F#
expressivo	To play or sing expressively
tarantella	A very lively dance in 6/8, which originated in Italy
martellato	hammered out.
alla capella	usually the same as a capella (see p
seventh-fret method	A method of relative tuning whereby you tune the bass guitar using the pitch played on the seventh fret as the comparison note.
capo	beginning.
affettuoso	with feeling
treble	Highest part in harmonized music
key	The basis of tonal music
possibile	possible
consonance	A combination of tones agreeable to the ear and requiring no resolution to other tone-combinations in order to give the effect of finality
con variazioni	with variations/changes
conductor	The person who leads a musical group.
rondo form	A form whereby a principal theme alternates with other (varied) themes called episodes on the pattern A B A C A, A being the principal theme and B and C being the episodes
presto assai	as rapidly as possible.
sidefills	a slang term for onstage monitor speakers that are placed on the sides of the stage, to help performers to hear themselves.
n.c.	No chord, written in the chord row of music notation to show there is no chord being played, and no implied harmony.
pro-slavery	This term might be used to describe a person, an action, or an idea that is in favour of slavery.
ängstlich	anxiously
part	A line in a contrapuntal work performed by an individual voice or instrument.
berceuse	a cradle song.
portamento	1
tre corde	(tc; sometimes inaccurately tre corda) literally "three strings"; an instruction to release the soft pedal (in piano music)
duet	a composition for two performers
bergamasca	from Bergamo
baroque	Period in Western music from approximately 1600 to around 1750.
polacca	a Polish dance in three-quarter measure.
libretto	little book
chipping	The process of gradually increasing the tension on the strings after new strings have been installed
marzial	"martially."
etwas	Somewhat
largo di molto	very slow.
andante cantabile	moderately slow, and in singing style.
façade	Face or front of a building.
hammer rail	The rail that the hammer and the hammer flanges are attached to with flange screws.
senza sordino	"without mute."
sul g	Play on the G string
duo	A duet
sortita	a principal singer's first entrance in an opera
soubretta	In eighteenth-century opera, a serving-girl caricature who uses her cunning and wit to sort out problems, eg Mozart's Despina (Così fan tutte)
vivacissimo	"very lively"
finger permutations	An exercise used to train the left hand for fingering and to build up finger independence.
andante amabile	moderately slow, and lovingly.
non tanto	Not so much.
cadenza	A brilliant passage, usually in an instrumental composition, introduced just before the close of a movement
duple time/metre	two main beats per bar
collection	several things grouped together or considered as a whole
pomposo	pompous, ceremonious
